"Tipo Doc."	"Data Doc."	"Num. Doc."	"Confermato"	"Rifiutato"	"Note"	"Imponibile"	"Imposta"	""
"PRV"	"2022-01-31"	"233"	""	""	"PUBBLICAZIONE Bando per fornitura di servizi di connettività Internet a banda ultralarga presso scuole sul territorio italiano, compresa la fornitura e posa in opera della rete di accesso e servizi di gestione e manutenzione, indetta in forza di delibera del Consiglio di amministrazione di Infratel Italia"	"4352.77"	"947.05"	""
"PRV"	"2022-02-14"	"389"	""	""	"PUBBLICAZIONE BANDO per l'affidamento di appalto per la progettazione, fornitura e posa in opera del cavo sottomarino a fibre ottiche e relativa manutenzione"	"4519.14"	"983.65"	""
"PRV"	"2022-01-31"	"235"	""	""	"PUBBLICAZIONE Bando per fornitura di servizi di connettività a banda ultralarga presso le strutture del servizio sanitario pubblico sul territorio italiano, compresa la fornitura e posa in opera della rete di accesso e di servizi gestione e manutenzione, indetta in forza di delibera del Consiglio di amministrazione di Infratel"	"4456.75"	"969.92"	""
"OVC"	"2022-02-10"	"242"	""	""	"PUBBLICAZIONE AVVISO DI PROROGA TERMINI"	"702.27"	"150.98"	""
"OVC"	"2022-02-01"	"173"	""	""	"PUBBLICAZIONE Bando per fornitura di servizi di connettività a banda ultralarga presso le strutture del servizio sanitario pubblico sul territorio italiano, compresa la fornitura e posa in opera della rete di accesso e di servizi gestione e manutenzione, indetta in forza di delibera del Consiglio di amministrazione di Infratel"	"4456.75"	"969.93"	""
"PRV"	"2022-01-19"	"137"	""	""	"PUBBLICAZIONE esito di Gara Isole Minori"	"660.68"	"141.83"	""
"FTV"	"2022-01-25"	"85/P"	""	""	"PUBBLICAZIONE Bando per la concessione di contributi pubblici per il finanziamento di progetti di investimento per la realizzazione di nuove infrastrutture di telecomunicazioni e relativi apparati di accesso in grado di erogare servizi con capacità di almeno 1 Gbit/s in download e 200 Mbit/s in upload"	"4498.34"	"979.08"	""
"FTV"	"2022-01-31"	"123/P"	""	""	"PUBBLICAZIONE esito di Gara Isole Minori"	"660.68"	"141.83"	""
"FTV"	"2022-02-08"	"161/P"	""	""	"PUBBLICAZIONE Bando per fornitura di servizi di connettività a banda ultralarga presso le strutture del servizio sanitario pubblico sul territorio italiano, compresa la fornitura e posa in opera della rete di accesso e di servizi gestione e manutenzione, indetta in forza di delibera del Consiglio di amministrazione di Infratel"	"4456.75"	"969.92"	""
"OVC"	"2022-01-19"	"68"	""	""	"PUBBLICAZIONE Bando per la concessione di contributi pubblici per il finanziamento di progetti di investimento per la realizzazione di nuove infrastrutture di telecomunicazioni e relativi apparati di accesso in grado di erogare servizi con capacità di almeno 1 Gbit/s in download e 200 Mbit/s in upload"	"4498.34"	"979.07"	""
"FTV"	"2022-02-21"	"212/P"	""	""	"PUBBLICAZIONE BANDO per l'affidamento di appalto per la progettazione, fornitura e posa in opera del cavo sottomarino a fibre ottiche e relativa manutenzione"	"4519.14"	"983.65"	""
"FTV"	"2022-02-15"	"187/P"	""	""	"PUBBLICAZIONE AVVISO DI PROROGA TERMINI"	"702.27"	"150.98"	""
"OVC"	"2022-02-17"	"283"	""	""	"PUBBLICAZIONE BANDO per l'affidamento di appalto per la progettazione, fornitura e posa in opera del cavo sottomarino a fibre ottiche e relativa manutenzione"	"4519.14"	"983.65"	""
"FTV"	"2022-01-14"	"27/P"	""	""	"BANDO GARA CONNETTIVITA' 2021"	"4170.4"	"910.45"	""
"PRV"	"2022-07-04"	"1870"	""	""	"pubblicazione avviso aggiudicazione gara Italia 1GIGA TN_BZ"	"4343.196"	"233.33"	""
"PRV"	"2022-07-04"	"1871"	""	""	"pubblicazione avviso aggiudicazione gara Italia 5G_Copertura"	"5590.956"	"301.96"	""
"PRV"	"2022-02-07"	"301"	""	""	"PUBBLICAZIONE AVVISO DI PROROGA TERMINI"	"702.27"	"150.98"	""
"OVC"	"2022-02-01"	"174"	""	""	"PUBBLICAZIONE Bando per fornitura di servizi di connettività Internet a banda ultralarga presso scuole sul territorio italiano, compresa la fornitura e posa in opera della rete di accesso e servizi di gestione e manutenzione, indetta in forza di delibera del Consiglio di amministrazione di Infratel Italia"	"4352.77"	"947.05"	""
"PRV"	"2022-01-17"	"103"	""	""	"PUBBLICAZIONE Bando per la concessione di contributi pubblici per il finanziamento di progetti di investimento per la realizzazione di nuove infrastrutture di telecomunicazioni e relativi apparati di accesso in grado di erogare servizi con capacità di almeno 1 Gbit/s in download e 200 Mbit/s in upload"	"4498.34"	"979.08"	""
"FTV"	"2022-02-08"	"162/P"	""	""	"PUBBLICAZIONE Bando per fornitura di servizi di connettività Internet a banda ultralarga presso scuole sul territorio italiano, compresa la fornitura e posa in opera della rete di accesso e servizi di gestione e manutenzione, indetta in forza di delibera del Consiglio di amministrazione di Infratel Italia"	"4352.77"	"947.05"	""
""	""	""	""	""	""	"71013.722"	"13821.44"	""
